Charadrius vociferus
Colinus virginianus
Phasianus colchicus
Columba livia
Zenaida macroura
Coccyzus americanus
Picoides pubescens
Dryocopus pileatus
Melanerpes erythrocephalus
Melanerpes carolinus
Colaptes auratus
Chaetura pelagica
Tyrannus tyrannus
Tyrannus verticalis
Myiarchus crinitus
Sayornis phoebe
Contopus virens
Contopus sordidulus
Empidonax virescens
Empidonax alnorum
Empidonax minimus
Eremophila alpestris
Cyanocitta cristata
Corvus brachyrhynchos
Sturnus vulgaris
Dolichonyx oryzivorus
Molothrus ater
Agelaius phoeniceus
Sturnella magna
Sturnella neglecta
Icterus spurius
Icterus galbula
Euphagus cyanocephalus
Quiscalus quiscula
Carpodacus mexicanus
Carduelis tristis
Pooecetes gramineus
Passerculus sandwichensis
Ammodramus savannarum
Zonotrichia albicollis
Spizella passerina
Spizella pallida
Spizella pusilla
Melospiza melodia
Pipilo erythrophthalmus
Cardinalis cardinalis
Pheucticus ludovicianus
Passerina cyanea
Spiza americana
Piranga ludoviciana
Piranga olivacea
Piranga rubra
Progne subis
Hirundo rustica
Tachycineta bicolor
Bombycilla cedrorum
Vireo olivaceus
Vireo gilvus
Vireo griseus
Mniotilta varia
Vermivora ruficapilla
Dendroica petechia
Dendroica pensylvanica
Dendroica virens
Dendroica pinus
Seiurus aurocapilla
Oporornis philadelphia
Geothlypis trichas
Icteria virens
Setophaga ruticilla
Passer domesticus
Mimus polyglottos
Dumetella carolinensis
Toxostoma rufum
Thryothorus ludovicianus
Troglodytes aedon
Baeolophus bicolor
Parus atricapillus
Parus carolinensis
Polioptila caerulea
Hylocichla mustelina
Catharus fuscescens
Catharus guttatus
Turdus migratorius
Sialia sialis
